num,id,label,info
1,u17461978,human,1
2,u1297437077403885568,bot,2
3,u17685258,human,1
4,u15750898,human,1
5,u1659167666,bot,2
6,u34743251,human,1
7,u27260086,human,1
8,u57097104,human,1
9,u1297609266623217664,bot,2
10,u207809313,human,1
11,u24212655,human,1
12,u1485029462,human,1
13,u105297123,human,1
14,u849880970,bot,2
15,u15764644,human,1
16,u2463494166,human,1
17,u39555442,bot,2
18,u480604244,bot,2
19,u764941707133812736,bot,2
20,u23022687,human,1
21,u90868268,bot,2
22,u14230524,human,1
23,u726414091,human,1
24,u236699098,human,1
25,u939091,human,1
26,u1280688197068972033,bot,2
27,u177673457,human,1
28,u558797310,human,1
29,u208120290,human,1
30,u5402612,human,1
31,u1134552730146500608,human,1
32,u1141136372,human,1
33,u14108472,human,1
34,u783214,human,1
35,u169686021,human,1
36,u30180137,human,1
37,u58579942,human,1
38,u1447949844,human,1
39,u812362585332912128,human,1
40,u2353605901,human,1
41,u22703645,human,1
42,u36196023,bot,2
43,u2421067430,bot,2
44,u84078498,human,1
45,u23527603,bot,2
46,u2293315159,human,1
47,u237824268,human,1
48,u1150826920394788864,bot,2
49,u19570960,bot,2
50,u78523300,human,1
51,u345811633,bot,2
52,u1279851861370077184,bot,2
53,u941304403054727169,human,1
54,u246500501,human,1
55,u247653244,human,1
56,u1111940934,human,1
57,u21536398,human,1
58,u54885400,human,1
59,u91478624,human,1
60,u255388236,human,1
61,u16303106,human,1
62,u3171712086,human,1
63,u1276374102,bot,2
64,u197881715,human,1
65,u3268042182,bot,2
66,u22203756,human,1
67,u1539495661,bot,2
68,u2965511647,human,1
69,u23765365,human,1
70,u1292827583416078336,bot,2
71,u299456906,bot,2
72,u375721095,bot,2
73,u30354991,human,1
74,u1214658897325281280,human,1
75,u170861207,human,1
76,u1115977467951501313,human,1
77,u1945909922,human,1
78,u1297520167967248384,bot,2
79,u50115087,human,1
80,u127117223,human,1
81,u462822954,bot,2
82,u3995778614,human,1
83,u1960613304,human,1
84,u27860702,human,1
85,u1295157751841280001,bot,2
86,u1287626469712121856,human,1
87,u306642753,human,1
88,u3138637447,human,1
89,u1032805565796311040,bot,2
90,u870825202678157312,human,1
91,u56774483,human,1
92,u18560271,human,1
93,u428377986,human,1
94,u106448460,human,1
95,u205392468,human,1
96,u843514885644271616,bot,2
97,u24578794,human,1
98,u39349894,human,1
99,u48223726,human,1
100,u56321478,bot,2
101,u1226928204805328897,human,1
102,u12550682,bot,2
103,u57289662,human,1
104,u807095,human,1
105,u428185684,bot,2
106,u270109981,bot,2
107,u861598125772951552,bot,2
108,u1196816405779361793,human,1
109,u2510356369,human,1
110,u334715818,human,1
111,u1297890577040773121,human,1
112,u531615634,bot,2
113,u287884272,human,1
114,u26565946,human,1
115,u19725644,human,1
116,u497052651,bot,2
117,u14499829,human,1
118,u1063519736607268872,human,1
119,u1117820648716480512,bot,2
120,u523248016,bot,2
121,u45828171,human,1
122,u22841103,human,1
123,u25127156,bot,2
124,u18139497,bot,2
125,u15515169,human,1
